Time (s),PPG Signal Intensity
0.000000000000000000e+00,4.496475137291149338e+01
3.333333333333333287e-02,4.525081432196476783e+01
6.666666666666666574e-02,4.563256086630644859e+01
1.000000000000000056e-01,4.608399522727680875e+01
1.333333333333333315e-01,4.657912162621614982e+01
1.666666666666666574e-01,4.709194428446474490e+01
2.000000000000000111e-01,4.781880658769647141e+01
2.333333333333333370e-01,4.821521603518448984e+01
2.666666666666666630e-01,4.855049578489174422e+01
2.999999999999999889e-01,4.882452473304888230e+01
3.333333333333333148e-01,4.909455359756599080e+01
3.666666666666666408e-01,4.946891980665208877e+01
4.000000000000000222e-01,4.987496144718124924e+01
4.333333333333333481e-01,5.026752090564701803e+01
4.666666666666666741e-01,5.058115063392151001e+01
5.000000000000000000e-01,5.082664200157513079e+01
5.333333333333333259e-01,5.101233942859922621e+01
5.666666666666666519e-01,5.113300583040584968e+01
5.999999999999999778e-01,5.117715041959399258e+01
6.333333333333333037e-01,5.122596599859197397e+01
6.666666666666666297e-01,5.126252424253504358e+01
6.999999999999999556e-01,5.138806332855880044e+01
7.333333333333332815e-01,5.154198713424911205e+01
7.666666666666667185e-01,5.175738153611846570e+01
8.000000000000000444e-01,5.195868871626510810e+01
8.333333333333333703e-01,5.214745533971777292e+01
8.666666666666666963e-01,5.229893639961098728e+01
9.000000000000000222e-01,5.242828807624476184e+01
9.333333333333333481e-01,5.251756625421676006e+01
9.666666666666666741e-01,5.259959547856019668e+01
1.000000000000000000e+00,5.273338334309126196e+01
1.033333333333333437e+00,5.290288760611817764e+01
1.066666666666666652e+00,5.312734834584439625e+01
1.100000000000000089e+00,5.338577605734909071e+01
1.133333333333333304e+00,5.368764697989842460e+01
1.166666666666666741e+00,5.397916350838482202e+01
1.199999999999999956e+00,5.425414980797637554e+01
1.233333333333333393e+00,5.446771759036596450e+01
1.266666666666666607e+00,5.462184905852701178e+01
1.300000000000000044e+00,5.468800972489397338e+01
1.333333333333333259e+00,5.473803536142931137e+01
1.366666666666666696e+00,5.477235192232622296e+01
1.399999999999999911e+00,5.478783588870990684e+01
1.433333333333333348e+00,5.478468614520595281e+01
1.466666666666666563e+00,5.477391640442028375e+01
1.500000000000000000e+00,5.476062703001274201e+01
1.533333333333333437e+00,5.475028949463997918e+01
1.566666666666666652e+00,5.473935312726516145e+01
1.600000000000000089e+00,5.473406307066874632e+01
1.633333333333333304e+00,5.473384800257184679e+01
1.666666666666666741e+00,5.474491745340545634e+01
1.699999999999999956e+00,5.478867973803241398e+01
1.733333333333333393e+00,5.484937908180680921e+01
1.766666666666666607e+00,5.491934789540807316e+01
1.800000000000000044e+00,5.499138098374587003e+01
1.833333333333333259e+00,5.507281616796300483e+01
1.866666666666666696e+00,5.515468394965559895e+01
1.899999999999999911e+00,5.524169763960903623e+01
1.933333333333333348e+00,5.532681845150961664e+01
1.966666666666666563e+00,5.541280805226794826e+01
2.000000000000000000e+00,5.549619444473477614e+01
2.033333333333333215e+00,5.558233444504843135e+01
2.066666666666666874e+00,5.566287899381055126e+01
2.100000000000000089e+00,5.574025628694091949e+01
2.133333333333333304e+00,5.581428708650459214e+01
2.166666666666666519e+00,5.587530768198663367e+01
2.200000000000000178e+00,5.593520902597711597e+01
2.233333333333333393e+00,5.598607321899037714e+01
2.266666666666666607e+00,5.602975020822869823e+01
2.299999999999999822e+00,5.608035104410608085e+01
2.333333333333333481e+00,5.615305266445707844e+01
2.366666666666666696e+00,5.622426085316290312e+01
2.399999999999999911e+00,5.628203501815676191e+01
2.433333333333333126e+00,5.631674841171091117e+01
2.466666666666666785e+00,5.632333830817154308e+01
2.500000000000000000e+00,5.629195012789943320e+01
2.533333333333333215e+00,5.622166550790388584e+01
2.566666666666666874e+00,5.610713819595450502e+01
2.600000000000000089e+00,5.597829012368257651e+01
2.633333333333333304e+00,5.584455172437818504e+01
2.666666666666666519e+00,5.574306393407763238e+01
2.700000000000000178e+00,5.567471738823595473e+01
2.733333333333333393e+00,5.562002165492213379e+01
2.766666666666666607e+00,5.559077367883620013e+01
2.799999999999999822e+00,5.557844677445764603e+01
2.833333333333333481e+00,5.558652404737501485e+01
2.866666666666666696e+00,5.560738735171313607e+01
2.899999999999999911e+00,5.563572443577831450e+01
2.933333333333333126e+00,5.566389042809737475e+01
2.966666666666666785e+00,5.571293712797610453e+01
3.000000000000000000e+00,5.576544582740874745e+01
3.033333333333333215e+00,5.582234347119986495e+01
3.066666666666666874e+00,5.587382339846790558e+01
3.100000000000000089e+00,5.592018891316764240e+01
3.133333333333333304e+00,5.595914180990011033e+01
3.166666666666666519e+00,5.599293466233821448e+01
3.200000000000000178e+00,5.603341662484656638e+01
3.233333333333333393e+00,5.607607259604652938e+01
3.266666666666666607e+00,5.612922863433274046e+01
3.299999999999999822e+00,5.618591715630915928e+01
3.333333333333333481e+00,5.623749185381110038e+01
3.366666666666666696e+00,5.627270765375813255e+01
3.399999999999999911e+00,5.628689561377819928e+01
3.433333333333333126e+00,5.626293449244442968e+01
3.466666666666666785e+00,5.619843732574987172e+01
3.500000000000000000e+00,5.610238443738142422e+01
3.533333333333333215e+00,5.599032816507741472e+01
3.566666666666666874e+00,5.587691990858834856e+01
3.600000000000000089e+00,5.577773507200002712e+01
3.633333333333333304e+00,5.571648951973197939e+01
3.666666666666666519e+00,5.568310513114047922e+01
3.700000000000000178e+00,5.567541382203486933e+01
3.733333333333333393e+00,5.568100297880413763e+01
3.766666666666666607e+00,5.570014395230418103e+01
3.799999999999999822e+00,5.572025103330258133e+01
3.833333333333333481e+00,5.576930842777676389e+01
3.866666666666666696e+00,5.583908434659715425e+01
3.899999999999999911e+00,5.592866907393071330e+01
3.933333333333333126e+00,5.603362803369289225e+01
3.966666666666666785e+00,5.615739687012090542e+01
4.000000000000000000e+00,5.628732352828417618e+01
4.033333333333333215e+00,5.640052732414678616e+01
4.066666666666666430e+00,5.648890218997426160e+01
4.099999999999999645e+00,5.654037074742798552e+01
4.133333333333333748e+00,5.656434561273270134e+01
4.166666666666666963e+00,5.656735247121380183e+01
4.200000000000000178e+00,5.657061473667325657e+01
4.233333333333333393e+00,5.655694327551707801e+01
4.266666666666666607e+00,5.660895830283947561e+01
4.299999999999999822e+00,5.667154675650988338e+01
4.333333333333333037e+00,5.672800339526169466e+01
4.366666666666666252e+00,5.676108219286680878e+01
4.400000000000000355e+00,5.676766858254563175e+01
4.433333333333333570e+00,5.674747590122104413e+01
4.466666666666666785e+00,5.670051475636352478e+01
4.500000000000000000e+00,5.663991321041728355e+01
4.533333333333333215e+00,5.657375864280128752e+01
4.566666666666666430e+00,5.651335399938653836e+01
4.599999999999999645e+00,5.647661510172706301e+01
4.633333333333333748e+00,5.651499976911861722e+01
4.666666666666666963e+00,5.655052425299003716e+01
4.700000000000000178e+00,5.659197134284032416e+01
4.733333333333333393e+00,5.664257936653135772e+01
4.766666666666666607e+00,5.670389640487334049e+01
4.799999999999999822e+00,5.669043040628127983e+01
4.833333333333333037e+00,5.679310233442753031e+01
4.866666666666666252e+00,5.697597111718653906e+01
4.900000000000000355e+00,5.721609948282583247e+01
4.933333333333333570e+00,5.749059742493299296e+01
4.966666666666666785e+00,5.776925325586167759e+01
5.000000000000000000e+00,5.802960934886240096e+01
5.033333333333333215e+00,5.825878488049923476e+01
5.066666666666666430e+00,5.843437918200057624e+01
5.099999999999999645e+00,5.854456753756821286e+01
5.133333333333333748e+00,5.857523253666210650e+01
5.166666666666666963e+00,5.853450956458392795e+01
5.200000000000000178e+00,5.859237638703012863e+01
5.233333333333333393e+00,5.860771908020370802e+01
5.266666666666666607e+00,5.857298664983402148e+01
5.299999999999999822e+00,5.848114157292005189e+01
5.333333333333333037e+00,5.833345051647698654e+01
